0x0000	0x00-1
0x0001	0x0020
0x0002	0x0021
0x0003	0x0022
0x0004	0x0023
0x0005	0x0024
0x0006	0x0025
0x0007	0x0026
0x0008	0x0027
0x0009	0x0028
0x000A	0x0029
0x000B	0x002A
0x000C	0x002B
0x000D	0x002C
0x000E	0x002D
0x000F	0x002E
0x0010	0x002F
0x0011	0x0030
0x0012	0x0031
0x0013	0x0032
0x0014	0x0033
0x0015	0x0034
0x0016	0x0035
0x0017	0x0036
0x0018	0x0037
0x0019	0x0038
0x001A	0x0039
0x001B	0x003A
0x001C	0x003B
0x001D	0x003C
0x001E	0x003D
0x001F	0x003E
0x0020	0x003F
0x0021	0x0040
0x0022	0x0041
0x0023	0x0042
0x0024	0x0043
0x0025	0x0044
0x0026	0x0045
0x0027	0x0046
0x0028	0x0047
0x0029	0x0048
0x002A	0x0049
0x002B	0x004A
0x002C	0x004B
0x002D	0x004C
0x002E	0x004D
0x002F	0x004E
0x0030	0x004F
0x0031	0x0050
0x0032	0x0051
0x0033	0x0052
0x0034	0x0053
0x0035	0x0054
0x0036	0x0055
0x0037	0x0056
0x0038	0x0057
0x0039	0x0058
0x003A	0x0059
0x003B	0x005A
0x003C	0x005B
0x003D	0x005C
0x003E	0x005D
0x003F	0x005E
0x0040	0x005F
0x0041	0x0060
0x0042	0x0061
0x0043	0x0062
0x0044	0x0063
0x0045	0x0064
0x0046	0x0065
0x0047	0x0066
0x0048	0x0067
0x0049	0x0068
0x004A	0x0069
0x004B	0x006A
0x004C	0x006B
0x004D	0x006C
0x004E	0x006D
0x004F	0x006E
0x0050	0x006F
0x0051	0x0070
0x0052	0x0071
0x0053	0x0072
0x0054	0x0073
0x0055	0x0074
0x0056	0x0075
0x0057	0x0076
0x0058	0x0077
0x0059	0x0078
0x005A	0x0079
0x005B	0x007A
0x005C	0x007B
0x005D	0x007C
0x005E	0x007D
0x005F	0x007E
0x0060	0x3000
0x0061	0x3002
0x0062	0xFF0C
0x0063	0x3001
0x0064	0xFF1B
0x0065	0xFF1A
0x0066	0x300C
0x0067	0x300D
0x0068	0x300E
0x0069	0x300F
0x006A	0xFF08
0x006B	0xFF09
0x006C	0xFF1F
0x006D	0xFF01
0x006E	0x2026
0x006F	0xFE4F
0x0070	0x300A
0x0071	0x300B
0x0072	0x3008
0x0073	0x3009
0x0074	0xFF3F
0x0075	0xFF0E
0x0076	0x2014
0x0077	0xFF5E
0x0078	0x3105
0x0079	0x3106
0x007A	0x3107
0x007B	0x3108
0x007C	0x3109
0x007D	0x310A
0x007E	0x310B
0x007F	0x310C
0x0080	0x310D
0x0081	0x310E
0x0082	0x310F
0x0083	0x3110
0x0084	0x3111
0x0085	0x3112
0x0086	0x3113
0x0087	0x3114
0x0088	0x3115
0x0089	0x3116
0x008A	0x3117
0x008B	0x3118
0x008C	0x3119
0x008D	0x311A
0x008E	0x311B
0x008F	0x311C
0x0090	0x311D
0x0091	0x311E
0x0092	0x311F
0x0093	0x3120
0x0094	0x3121
0x0095	0x3122
0x0096	0x3123
0x0097	0x3124
0x0098	0x3125
0x0099	0x3126
0x009A	0x3127
0x009B	0x3128
0x009C	0x3129
0x009D	0x02C9
0x009E	0x02CA
0x009F	0x02C7
0x00A0	0x02CB
0x00A1	0x02D9
0x00A2	0x31C0
0x00A3	0x31C1
0x00A4	0x31C2
0x00A5	0x31C3
0x00A6	0x31C4
0x00A7	0x31C5
0x00A8	0x31C6
0x00A9	0x31C7
0x00AA	0x31C8
0x00AB	0x31C9
0x00AC	0x31CA
0x00AD	0x31CB
0x00AE	0x31CC
0x00AF	0x31CD
0x00B0	0x31CE
0x00B1	0x31CF
0x00B2	0x31D0
0x00B3	0x31D1
0x00B4	0x31D2
0x00B5	0x31D3
0x00B6	0x31D4
0x00B7	0x31D5
0x00B8	0x31D6
0x00B9	0x31D7
0x00BA	0x31D8
0x00BB	0x31D9
0x00BC	0x31DA
0x00BD	0x31DB
0x00BE	0x31DC
0x00BF	0x31DD
0x00C0	0x31DE
0x00C1	0x31DF
0x00C2	0x31E0
0x00C3	0x31E1
0x00C4	0x31E2
0x00C5	0x31E3
0x00C6	0x4E00
0x00C7	0x4E01
0x00C8	0x4E03
0x00C9	0x4E09
0x00CA	0x4E0B
0x00CB	0x4E08
0x00CC	0x4E0A
0x00CD	0x4E11
0x00CE	0x4E10
0x00CF	0x4E0D
0x00D0	0x4E19
0x00D1	0x4E16
0x00D2	0x4E15
0x00D3	0x4E14
0x00D4	0x4E18
0x00D5	0x4E1E
0x00D6	0x4E1F
0x00D7	0x4E26
0x00D8	0x4E2B
0x00D9	0x4E2D
0x00DA	0x4E32
0x00DB	0x4E38
0x00DC	0x51E1
0x00DD	0x4E39
0x00DE	0x4E3B
0x00DF	0x4E43
0x00E0	0x4E45
0x00E1	0x4E48
0x00E2	0x4E4B
0x00E3	0x5C39
0x00E4	0x4E4D
0x00E5	0x4E4F
0x00E6	0x4E4E
0x00E7	0x4E52
0x00E8	0x4E53
0x00E9	0x4E56
0x00EA	0x4E58
0x00EB	0x4E59
0x00EC	0x4E5D
0x00ED	0x4E5F
0x00EE	0x4E5E
0x00EF	0x4E69
0x00F0	0x4E73
0x00F1	0x4E7E
0x00F2	0x4E82
0x00F3	0x4E86
0x00F4	0x4E88
0x00F5	0x4E8B
0x00F6	0x4E8C
0x00F7	0x4E8E
0x00F8	0x4E91
0x00F9	0x4E95
0x00FA	0x4E92
0x00FB	0x4E94
0x00FC	0x4E99
0x00FD	0x4E9B
0x00FE	0x4E9E
0x00FF	0x4E9F
0x0100	0x4EA1
0x0101	0x4EA4
0x0102	0x4EA6
0x0103	0x4EA5
0x0104	0x4EA8
0x0105	0x4EAB
0x0106	0x4EAC
0x0107	0x4EAD
0x0108	0x4EAE
0x0109	0x4EBA
0x010A	0x4EC1
0x010B	0x4EC0
0x010C	0x4EC3
0x010D	0x4EC6
0x010E	0x4EC7
0x010F	0x4ECD
0x0110	0x4ECA
0x0111	0x4ECB
0x0112	0x4EC4
0x0113	0x4EE5
0x0114	0x4ED8
0x0115	0x4ED4
0x0116	0x4ED5
0x0117	0x4ED6
0x0118	0x4ED7
0x0119	0x4EE3
0x011A	0x4EE4
0x011B	0x4ED9
0x011C	0x4EDE
0x011D	0x4EFF
0x011E	0x4F09
0x011F	0x4F19
0x0120	0x4F0A
0x0121	0x4F15
0x0122	0x4F0D
0x0123	0x4F10
0x0124	0x4F11
0x0125	0x4F0F
0x0126	0x4EF2
0x0127	0x4EF6
0x0128	0x4EFB
0x0129	0x4EF0
0x012A	0x4EF3
0x012B	0x4EFD
0x012C	0x4F01
0x012D	0x4F4D
0x012E	0x4F4F
0x012F	0x4F47
0x0130	0x4F57
0x0131	0x4F5E
0x0132	0x4F34
0x0133	0x4F5B
0x0134	0x4F55
0x0135	0x4F30
0x0136	0x4F50
0x0137	0x4F51
0x0138	0x4F3D
0x0139	0x4F3A
0x013A	0x4F38
0x013B	0x4F43
0x013C	0x4F54
0x013D	0x4F3C
0x013E	0x4F46
0x013F	0x4F63
0x0140	0x4F5C
0x0141	0x4F60
0x0142	0x4F2F
0x0143	0x4F4E
0x0144	0x4F36
0x0145	0x4F59
0x0146	0x4F5D
0x0147	0x4F6F
0x0148	0x4F9D
0x0149	0x4F8D
0x014A	0x4F73
0x014B	0x4F7F
0x014C	0x4F6C
0x014D	0x4F9B
0x014E	0x4F8B
0x014F	0x4F86
0x0150	0x4F83
0x0151	0x4F70
0x0152	0x4F75
0x0153	0x4F88
0x0154	0x4F69
0x0155	0x4F7B
0x0156	0x4F96
0x0157	0x4F7E
0x0158	0x4F8F
0x0159	0x4FE1
0x015A	0x4FB5
0x015B	0x4FAF
0x015C	0x4FBF
0x015D	0x4FE0
0x015E	0x4FD1
0x015F	0x4FCF
0x0160	0x4FDD
0x0161	0x4FC3
0x0162	0x4FB6
0x0163	0x4FD8
0x0164	0x4FDF
0x0165	0x4FCA
0x0166	0x4FD7
0x0167	0x4FAE
0x0168	0x4FD0
0x0169	0x4FC4
0x016A	0x4FC2
0x016B	0x4FDA
0x016C	0x4FCE
0x016D	0x4FDE
0x016E	0x500C
0x016F	0x500D
0x0170	0x5023
0x0171	0x4FEF
0x0172	0x5026
0x0173	0x5025
0x0174	0x4FF8
0x0175	0x5029
0x0176	0x5016
0x0177	0x5006
0x0178	0x503C
0x0179	0x501F
0x017A	0x501A
0x017B	0x5012
0x017C	0x5011
0x017D	0x4FFA
0x017E	0x5000
0x017F	0x5014
0x0180	0x5028
0x0181	0x4FF1
0x0182	0x5021
0x0183	0x500B
0x0184	0x5019
0x0185	0x5018
0x0186	0x4FF3
0x0187	0x4FEE
0x0188	0x502D
0x0189	0x502A
0x018A	0x4FFE
0x018B	0x502B
0x018C	0x5009
0x018D	0x507A
0x018E	0x507D
0x018F	0x505C
0x0190	0x5047
0x0191	0x5043
0x0192	0x504C
0x0193	0x505A
0x0194	0x5049
0x0195	0x5065
0x0196	0x5076
0x0197	0x504E
0x0198	0x5055
0x0199	0x5075
0x019A	0x5074
0x019B	0x5077
0x019C	0x504F
0x019D	0x500F
0x019E	0x50A2
0x019F	0x508D
0x01A0	0x5085
0x01A1	0x5099
0x01A2	0x5091
0x01A3	0x5080
0x01A4	0x5096
0x01A5	0x5098
0x01A6	0x50AD
0x01A7	0x50B5
0x01A8	0x50B2
0x01A9	0x50B3
0x01AA	0x50C5
0x01AB	0x50BE
0x01AC	0x50AC
0x01AD	0x50B7
0x01AE	0x50BB
0x01AF	0x50AF
0x01B0	0x50E7
0x01B1	0x50EE
0x01B2	0x50E5
0x01B3	0x50D6
0x01B4	0x50ED
0x01B5	0x50DA
0x01B6	0x50D5
0x01B7	0x50CF
0x01B8	0x50D1
0x01B9	0x50F1
0x01BA	0x5104
0x01BB	0x5100
0x01BC	0x50FB
0x01BD	0x50F5
0x01BE	0x50F9
0x01BF	0x5102
0x01C0	0x5108
0x01C1	0x5109
0x01C2	0x5112
0x01C3	0x5118
0x01C4	0x5114
0x01C5	0x5110
0x01C6	0x512A
0x01C7	0x511F
0x01C8	0x5121
0x01C9	0x5132
